class,alpha,transform,category,relative_error,cosine_similarity
elephant,1.5,translation_y10,translation,0.0059437402116732105,0.9999823571826589
elephant,1.5,rotation_10,rotation,0.08016786109190209,0.9967815234048766
elephant,1.5,rotation_20,rotation,0.14847998522332675,0.9889239172256351
elephant,1.5,scale_0.8,scale,0.19484061425681662,0.9844525258558287
elephant,1.5,scale_1.2,scale,0.1594716019196376,0.9891091800703626
elephant,1.6,translation_x10,translation,0.006134079752073047,0.9999824680036238
elephant,1.6,translation_y10,translation,0.005890082023167739,0.9999826649805301
elephant,1.6,rotation_10,rotation,0.0847751235530302,0.9964135975385991
elephant,1.6,rotation_20,rotation,0.15671905705679057,0.9876433801964959
elephant,1.6,scale_0.8,scale,2.5663151009457006,0.31792722927384753
elephant,1.6,scale_1.2,scale,0.1902022234374018,0.9862770480956861
elephant,1.7,translation_x10,translation,0.010988775017275671,0.9999432385774895
elephant,1.7,translation_y10,translation,0.020061563082876918,0.9997992458116326
elephant,1.7,rotation_10,rotation,0.0954735096612382,0.9954628101816032
elephant,1.7,rotation_20,rotation,0.15948180727716044,0.9872153769605769
elephant,1.7,scale_0.8,scale,47.82319754452018,0.040856689411819656
elephant,1.7,scale_1.2,scale,0.22272031794265054,0.9837643540272757
elephant,1.8,translation_x10,translation,0.14412995612503565,0.9926838222205966
elephant,1.8,translation_y10,translation,0.32280296170627676,0.9794426172659312
elephant,1.8,rotation_10,rotation,0.6435650094894448,0.7654522694533351
elephant,1.8,rotation_20,rotation,0.6487053266829362,0.7611225205136283
elephant,1.8,scale_0.8,scale,402.8662667666264,0.2990825683230023
elephant,1.8,scale_1.2,scale,0.6661510988710286,0.7564358572522815
elephant,1.9,translation_x10,translation,0.20076436966989514,0.9972369113324782
elephant,1.9,translation_y10,translation,0.46792977166725885,0.9984182390084223
elephant,1.9,rotation_10,rotation,0.9911968888297858,0.13553469800469875
elephant,1.9,rotation_20,rotation,0.993088039759795,0.11807036510803749
elephant,1.9,scale_0.8,scale,465.0485197996949,0.3573152556250396
elephant,1.9,scale_1.2,scale,0.9937685930953956,0.11250152449896192
elephant,2.0,translation_x10,translation,0.19701174442023467,0.9962755999748777
elephant,2.0,translation_y10,translation,0.48118453383755594,0.9984578289355642
elephant,2.0,rotation_10,rotation,0.9924480855611134,0.2963585161050249
elephant,2.0,rotation_20,rotation,0.9996830821646298,0.028930825793973096
elephant,2.0,scale_0.8,scale,439.73973093608276,0.2693529387034876
elephant,2.0,scale_1.2,scale,0.9997617486889415,0.022176512618872782
butterfly,0.6,translation_x10,translation,0.5149790784463484,0.928250351269097
butterfly,0.6,translation_y10,translation,0.6260030807433725,0.8822502353081582
butterfly,0.6,rotation_10,rotation,0.8821550712832227,0.7591960562203189
butterfly,0.6,rotation_20,rotation,0.702832750535743,0.731743554006745
butterfly,0.6,scale_0.8,scale,200.04227550596443,0.32588783835150675
butterfly,0.6,scale_1.2,scale,0.6504042635836219,0.7727878881268959
butterfly,0.7,translation_x10,translation,0.054296090326963926,0.9985267742362491
butterfly,0.7,translation_y10,translation,0.1924688281133118,0.9822439205688059
butterfly,0.7,rotation_10,rotation,0.39159824773881663,0.9254700771580991
butterfly,0.7,rotation_20,rotation,0.5145109558715679,0.8722043410712338
butterfly,0.7,scale_0.8,scale,49.05481006596002,-0.018792707525286664
butterfly,0.7,scale_1.2,scale,0.37620138494130423,0.9386141803313202
butterfly,0.8,translation_x10,translation,0.053693281275388104,0.9985678825842137
butterfly,0.8,translation_y10,translation,0.1877731757399962,0.9827830401731337
butterfly,0.8,rotation_10,rotation,0.3011231661298247,0.9539200378935894
butterfly,0.8,rotation_20,rotation,0.4320295378364582,0.9035267553637497
butterfly,0.8,scale_0.8,scale,4.87383480120687,0.17780920024601587
butterfly,0.8,scale_1.2,scale,0.3598429654131659,0.9426991132041895
butterfly,0.9,translation_x10,translation,0.04530419275350009,0.9989903797922082
butterfly,0.9,translation_y10,translation,0.15811357758994213,0.9879483879229025
butterfly,0.9,rotation_10,rotation,0.306413494777768,0.9522305845005312
butterfly,0.9,rotation_20,rotation,0.42079826555459493,0.9071874302850763
butterfly,0.9,scale_0.8,scale,0.20591531870485483,0.9786133082875175
butterfly,0.9,scale_1.2,scale,0.2554668954711721,0.9711594312154395
butterfly,1.0,translation_x10,translation,0.040616043455115734,0.9991862649193027
butterfly,1.0,translation_y10,translation,0.13573082458072053,0.990862568548737
butterfly,1.0,rotation_10,rotation,0.36238825593488355,0.9327122108237803
butterfly,1.0,rotation_20,rotation,0.4595004386086942,0.8885636283968464
butterfly,1.0,scale_0.8,scale,0.18908365444774322,0.981973220964728
butterfly,1.0,scale_1.2,scale,0.24035080508992113,0.9732976827523314
butterfly,1.1,translation_x10,translation,0.03312811522029535,0.9994512486190203
butterfly,1.1,translation_y10,translation,0.14035700874750415,0.9901319596661605
butterfly,1.1,rotation_10,rotation,0.3732108229023524,0.9279002163275973
butterfly,1.1,rotation_20,rotation,0.4671991232365628,0.884463779498632
butterfly,1.1,scale_0.8,scale,0.18755160924720482,0.9822949249296483
